;Comuna;Trabajo;Etnia;Sexo;Freq;anio;codigo
28;Alto Biobío;No;No pertenece a ningún pueblo indígena;Hombre;160;2017;8314
29;Alto Biobío;Si, ahora mismo;Mapuche;Mujer;374;2017;8314
30;Alto Biobío;Si, ahora mismo;Mapuche;Hombre;438;2017;8314
31;Alto Biobío;Sí, en otra época del año;Mapuche;Mujer;140;2017;8314
32;Alto Biobío;No;Mapuche;Mujer;1040;2017;8314
33;Alto Biobío;No sabe/no responde;Mapuche;Mujer;32;2017;8314
34;Alto Biobío;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;48;2017;8314
35;Alto Biobío;Sí, en otra época del año;Mapuche;Hombre;204;2017;8314
36;Alto Biobío;No;No sabe/no responde;Mujer;12;2017;8314
37;Alto del Carmen;No;Diaguita;Mujer;368;2017;3302
38;Alto del Carmen;No;No pertenece a ningún pueblo indígena;Hombre;454;2017;3302
39;Alto del Carmen;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;70;2017;3302
40;Alto del Carmen;No;Kawashkar o Alacalufes;Mujer;31;2017;3302
41;Alto del Carmen;Sí, en otra época del año;Diaguita;Mujer;58;2017;3302
42;Alto del Carmen;No;Diaguita;Hombre;147;2017;3302
43;Alto del Carmen;Si, ahora mismo;Diaguita;Hombre;27;2017;3302
44;Alto del Carmen;No;Mapuche;Hombre;31;2017;3302
45;Alto del Carmen;No;No pertenece a ningún pueblo indígena;Mujer;799;2017;3302
46;Alto Hospicio;Si, ahora mismo;Aimara;Hombre;484;2017;1107
47;Alto Hospicio;Sí, en otra época del año;Atacameño (Likan-Antai);Mujer;40;2017;1107
48;Alto Hospicio;Si, ahora mismo;Diaguita;Hombre;133;2017;1107
49;Alto Hospicio;No;Quechua;Hombre;131;2017;1107
50;Alto Hospicio;No;Quechua;Mujer;316;2017;1107
51;Alto Hospicio;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;5052;2017;1107
52;Alto Hospicio;Si, ahora mismo;Diaguita;Mujer;152;2017;1107
53;Alto Hospicio;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;2257;2017;1107
54;Alto Hospicio;Sí, en otra época del año;Atacameño (Likan-Antai);Hombre;40;2017;1107
55;Alto Hospicio;Sí, en otra época del año;Quechua;Mujer;42;2017;1107
56;Alto Hospicio;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;2945;2017;1107
57;Alto Hospicio;No;Mapuche;Mujer;160;2017;1107
58;Alto Hospicio;Si, ahora mismo;Mapuche;Hombre;45;2017;1107
59;Alto Hospicio;No;Diaguita;Mujer;299;2017;1107
60;Alto Hospicio;No sabe/no responde;Aimara;Mujer;51;2017;1107
61;Alto Hospicio;Sí, en otra época del año;Aimara;Hombre;692;2017;1107
62;Alto Hospicio;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;120;2017;1107
63;Alto Hospicio;Sí, en otra época del año;Mapuche;Hombre;74;2017;1107
64;Alto Hospicio;Sí, en otra época del año;Quechua;Hombre;64;2017;1107
65;Alto Hospicio;No;No pertenece a ningún pueblo indígena;Mujer;12527;2017;1107
66;Alto Hospicio;Si, ahora mismo;Mapuche;Mujer;29;2017;1107
67;Alto Hospicio;No sabe/no responde;Atacameño (Likan-Antai);Hombre;74;2017;1107
68;Alto Hospicio;Sí, en otra época del año;Aimara;Mujer;1102;2017;1107
69;Alto Hospicio;No;Mapuche;Hombre;229;2017;1107
70;Alto Hospicio;Si, ahora mismo;Aimara;Mujer;533;2017;1107
71;Alto Hospicio;Sí, en otra época del año;No sabe/no responde;Mujer;44;2017;1107
72;Alto Hospicio;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;3230;2017;1107
73;Alto Hospicio;Sí, en otra época del año;Mapuche;Mujer;243;2017;1107
74;Alto Hospicio;Si, ahora mismo;Quechua;Hombre;29;2017;1107
75;Alto Hospicio;No;Diaguita;Hombre;107;2017;1107
76;Alto Hospicio;No;No pertenece a ningún pueblo indígena;Hombre;5467;2017;1107
77;Alto Hospicio;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;286;2017;1107
78;Alto Hospicio;Si, ahora mismo;Kawashkar o Alacalufes;Hombre;37;2017;1107
79;Alto Hospicio;Si, ahora mismo;Quechua;Mujer;42;2017;1107
80;Alto Hospicio;No;Aimara;Mujer;1746;2017;1107
81;Alto Hospicio;Sí, en otra época del año;Diaguita;Mujer;82;2017;1107
82;Alto Hospicio;No;Aimara;Hombre;849;2017;1107
83;Ancud;No;Mapuche;Hombre;778;2017;10202
84;Ancud;No;No pertenece a ningún pueblo indígena;Hombre;4500;2017;10202
85;Ancud;No;No pertenece a ningún pueblo indígena;Mujer;7090;2017;10202
86;Ancud;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;316;2017;10202
87;Ancud;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;741;2017;10202
88;Ancud;Si, ahora mismo;Mapuche;Hombre;108;2017;10202
89;Ancud;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;726;2017;10202
90;Ancud;Sí, en otra época del año;Mapuche;Hombre;103;2017;10202
91;Ancud;No;Kawashkar o Alacalufes;Hombre;73;2017;10202
92;Ancud;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;1005;2017;10202
93;Ancud;No;Mapuche;Mujer;2597;2017;10202
94;Ancud;Si, ahora mismo;Mapuche;Mujer;50;2017;10202
95;Andacollo;No;Aimara;Mujer;26;2017;4103
96;Andacollo;No;Diaguita;Mujer;32;2017;4103
97;Andacollo;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;283;2017;4103
98;Andacollo;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;423;2017;4103
99;Andacollo;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;318;2017;4103
100;Andacollo;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;207;2017;4103
101;Andacollo;No;No pertenece a ningún pueblo indígena;Mujer;1487;2017;4103
102;Andacollo;Si, ahora mismo;Mapuche;Hombre;26;2017;4103
103;Andacollo;No;No pertenece a ningún pueblo indígena;Hombre;618;2017;4103
104;Angol;Si, ahora mismo;Mapuche;Mujer;234;2017;9201
105;Angol;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;2481;2017;9201
106;Angol;Sí, en otra época del año;Mapuche;Mujer;108;2017;9201
107;Angol;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;128;2017;9201
108;Angol;Si, ahora mismo;Mapuche;Hombre;232;2017;9201
109;Angol;No;Mapuche;Mujer;341;2017;9201
110;Angol;Sí, en otra época del año;Mapuche;Hombre;207;2017;9201
111;Angol;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;745;2017;9201
112;Angol;No;Mapuche;Hombre;411;2017;9201
113;Angol;No;No pertenece a ningún pueblo indígena;Mujer;8422;2017;9201
114;Angol;No;No pertenece a ningún pueblo indígena;Hombre;3604;2017;9201
115;Angol;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;1491;2017;9201
116;Angol;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;1767;2017;9201
117;Antofagasta;No;Atacameño (Likan-Antai);Mujer;432;2017;2101
118;Antofagasta;Sí, en otra época del año;Quechua;Mujer;89;2017;2101
119;Antofagasta;No;No sabe/no responde;Mujer;266;2017;2101
120;Antofagasta;Si, ahora mismo;Aimara;Hombre;52;2017;2101
121;Antofagasta;No;Mapuche;Mujer;1039;2017;2101
122;Antofagasta;Si, ahora mismo;No sabe/no responde;Mujer;112;2017;2101
123;Antofagasta;Sí, en otra época del año;Quechua;Hombre;66;2017;2101
124;Antofagasta;Si, ahora mismo;Diaguita;Hombre;87;2017;2101
125;Antofagasta;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;835;2017;2101
126;Antofagasta;No;Mapuche;Hombre;537;2017;2101
127;Antofagasta;Sí, en otra época del año;Atacameño (Likan-Antai);Hombre;116;2017;2101
128;Antofagasta;Sí, en otra época del año;Mapuche;Hombre;43;2017;2101
129;Antofagasta;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;12010;2017;2101
130;Antofagasta;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;21894;2017;2101
131;Antofagasta;Si, ahora mismo;Mapuche;Mujer;177;2017;2101
132;Antofagasta;No;Atacameño (Likan-Antai);Hombre;566;2017;2101
133;Antofagasta;No;No sabe/no responde;Hombre;102;2017;2101
134;Antofagasta;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;8445;2017;2101
135;Antofagasta;Si, ahora mismo;Diaguita;Mujer;335;2017;2101
136;Antofagasta;No;Quechua;Mujer;173;2017;2101
137;Antofagasta;No;Aimara;Mujer;660;2017;2101
138;Antofagasta;Sí, en otra época del año;Diaguita;Hombre;320;2017;2101
139;Antofagasta;Si, ahora mismo;Atacameño (Likan-Antai);Mujer;169;2017;2101
140;Antofagasta;No;No pertenece a ningún pueblo indígena;Mujer;49288;2017;2101
141;Antofagasta;Sí, en otra época del año;Mapuche;Mujer;496;2017;2101
142;Antofagasta;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;449;2017;2101
143;Antofagasta;Sí, en otra época del año;Aimara;Mujer;354;2017;2101
144;Antofagasta;Sí, en otra época del año;Diaguita;Mujer;250;2017;2101
145;Antofagasta;No;No pertenece a ningún pueblo indígena;Hombre;22456;2017;2101
146;Antofagasta;No;Aimara;Hombre;509;2017;2101
147;Antofagasta;Si, ahora mismo;Aimara;Mujer;141;2017;2101
148;Antofagasta;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;15880;2017;2101
149;Antofagasta;No;Diaguita;Hombre;153;2017;2101
150;Antofagasta;Sí, en otra época del año;Aimara;Hombre;334;2017;2101
151;Antofagasta;Si, ahora mismo;No sabe/no responde;Hombre;59;2017;2101
152;Antofagasta;Si, ahora mismo;Atacameño (Likan-Antai);Hombre;353;2017;2101
153;Antofagasta;Si, ahora mismo;Mapuche;Hombre;222;2017;2101
154;Antofagasta;No;Diaguita;Mujer;161;2017;2101
155;Antuco;No;No pertenece a ningún pueblo indígena;Hombre;392;2017;8302
156;Antuco;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;13;2017;8302
157;Antuco;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;118;2017;8302
158;Antuco;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;73;2017;8302
159;Antuco;No;No pertenece a ningún pueblo indígena;Mujer;918;2017;8302
160;Antuco;No;Mapuche;Hombre;18;2017;8302
161;Antuco;No;Mapuche;Mujer;19;2017;8302
162;Antuco;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;90;2017;8302
163;Antuco;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;164;2017;8302
164;Arauco;No;No pertenece a ningún pueblo indígena;Hombre;4040;2017;8202
165;Arauco;No sabe/no responde;Mapuche;Hombre;76;2017;8202
166;Arauco;Si, ahora mismo;Mapuche;Mujer;421;2017;8202
167;Arauco;Sí, en otra época del año;Mapuche;Mujer;74;2017;8202
168;Arauco;No;Mapuche;Hombre;1003;2017;8202
169;Arauco;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;700;2017;8202
170;Arauco;Si, ahora mismo;Mapuche;Hombre;161;2017;8202
171;Arauco;No;Mapuche;Mujer;2169;2017;8202
172;Arauco;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;1061;2017;8202
173;Arauco;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;159;2017;8202
174;Arauco;No;Quechua;Mujer;33;2017;8202
175;Arauco;No;No pertenece a ningún pueblo indígena;Mujer;8911;2017;8202
176;Arauco;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;624;2017;8202
177;Arauco;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;1896;2017;8202
178;Arica;No sabe/no responde;Aimara;Hombre;14;2017;15101
179;Arica;Si, ahora mismo;Aimara;Mujer;1334;2017;15101
180;Arica;No;No sabe/no responde;Hombre;12;2017;15101
181;Arica;Si, ahora mismo;Diaguita;Mujer;71;2017;15101
182;Arica;Sí, en otra época del año;Mapuche;Mujer;27;2017;15101
183;Arica;No;Aimara;Hombre;2676;2017;15101
184;Arica;No;Atacameño (Likan-Antai);Mujer;97;2017;15101
185;Arica;No;Aimara;Mujer;4902;2017;15101
186;Arica;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;5286;2017;15101
187;Arica;Sí, en otra época del año;Aimara;Mujer;2005;2017;15101
188;Arica;No;Mapuche;Hombre;214;2017;15101
189;Arica;Sí, en otra época del año;Atacameño (Likan-Antai);Mujer;44;2017;15101
190;Arica;Sí, en otra época del año;Diaguita;Mujer;93;2017;15101
191;Arica;Si, ahora mismo;Rapa-Nui o Pascuenses;Mujer;194;2017;15101
192;Arica;No sabe/no responde;Aimara;Mujer;34;2017;15101
193;Arica;No;Diaguita;Mujer;216;2017;15101
194;Arica;Sí, en otra época del año;Aimara;Hombre;866;2017;15101
195;Arica;No;Mapuche;Mujer;291;2017;15101
196;Arica;No;Diaguita;Hombre;65;2017;15101
197;Arica;Si, ahora mismo;Mapuche;Mujer;119;2017;15101
198;Arica;Sí, en otra época del año;Mapuche;Hombre;48;2017;15101
199;Arica;No;No pertenece a ningún pueblo indígena;Mujer;17595;2017;15101
200;Arica;Si, ahora mismo;Aimara;Hombre;866;2017;15101
201;Arica;No;Quechua;Hombre;110;2017;15101
202;Arica;No;No pertenece a ningún pueblo indígena;Hombre;9950;2017;15101
203;Arica;Si, ahora mismo;Atacameño (Likan-Antai);Mujer;43;2017;15101
204;Arica;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;199;2017;15101
205;Arica;No;Quechua;Mujer;119;2017;15101
206;Arica;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;6079;2017;15101
207;Arica;No;Atacameño (Likan-Antai);Hombre;127;2017;15101
208;Arica;Si, ahora mismo;Rapa-Nui o Pascuenses;Hombre;50;2017;15101
209;Arica;Sí, en otra época del año;Diaguita;Hombre;74;2017;15101
210;Arica;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;3048;2017;15101
211;Arica;Si, ahora mismo;Mapuche;Hombre;68;2017;15101
212;Arica;Si, ahora mismo;Quechua;Hombre;24;2017;15101
213;Arica;Si, ahora mismo;Quechua;Mujer;33;2017;15101
214;Arica;Si, ahora mismo;Diaguita;Hombre;52;2017;15101
215;Arica;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;3898;2017;15101
216;Arica;Sí, en otra época del año;Atacameño (Likan-Antai);Hombre;24;2017;15101
217;Arica;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;251;2017;15101
218;Arica;Sí, en otra época del año;Quechua;Mujer;34;2017;15101
219;Arica;No sabe/no responde;Quechua;Hombre;24;2017;15101
220;Aysén;No;Collas;Mujer;19;2017;11201
221;Aysén;Si, ahora mismo;Mapuche;Mujer;430;2017;11201
222;Aysén;No;Mapuche;Mujer;1135;2017;11201
223;Aysén;No;No pertenece a ningún pueblo indígena;Hombre;1401;2017;11201
224;Aysén;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;442;2017;11201
225;Aysén;Sí, en otra época del año;Mapuche;Hombre;184;2017;11201
226;Aysén;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;945;2017;11201
227;Aysén;No;Mapuche;Hombre;685;2017;11201
228;Aysén;Sí, en otra época del año;Mapuche;Mujer;265;2017;11201
229;Aysén;No;No pertenece a ningún pueblo indígena;Mujer;2491;2017;11201
230;Aysén;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;617;2017;11201
231;Aysén;No;Aimara;Hombre;16;2017;11201
232;Aysén;No;Aimara;Mujer;16;2017;11201
233;Aysén;Si, ahora mismo;Mapuche;Hombre;236;2017;11201
234;Aysén;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;447;2017;11201
235;Buin;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;10131;2017;13402
236;Buin;No;No pertenece a ningún pueblo indígena;Mujer;3387;2017;13402
237;Buin;Sí, en otra época del año;Mapuche;Hombre;601;2017;13402
238;Buin;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;1730;2017;13402
239;Buin;Si, ahora mismo;Mapuche;Mujer;663;2017;13402
240;Buin;Sí, en otra época del año;Mapuche;Mujer;813;2017;13402
241;Buin;No;Mapuche;Hombre;200;2017;13402
242;Buin;No;No pertenece a ningún pueblo indígena;Hombre;1067;2017;13402
243;Buin;No;Mapuche;Mujer;200;2017;13402
244;Buin;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;2048;2017;13402
245;Buin;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;5922;2017;13402
246;Bulnes;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;486;2017;16102
247;Bulnes;No;No pertenece a ningún pueblo indígena;Mujer;3343;2017;16102
248;Bulnes;Sí, en otra época del año;Mapuche;Hombre;58;2017;16102
249;Bulnes;No;No pertenece a ningún pueblo indígena;Hombre;1599;2017;16102
250;Bulnes;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;73;2017;16102
251;Bulnes;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;1599;2017;16102
252;Bulnes;Sí, en otra época del año;Mapuche;Mujer;58;2017;16102
253;Bulnes;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;1100;2017;16102
254;Bulnes;No;Mapuche;Mujer;88;2017;16102
255;Bulnes;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;906;2017;16102
256;Cabildo;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;239;2017;5402
257;Cabildo;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;495;2017;5402
258;Cabildo;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;1137;2017;5402
259;Cabildo;No;No pertenece a ningún pueblo indígena;Hombre;2581;2017;5402
260;Cabildo;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;1206;2017;5402
261;Cabildo;No;No pertenece a ningún pueblo indígena;Mujer;4602;2017;5402
262;Cabrero;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;1028;2017;8303
263;Cabrero;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;988;2017;8303
264;Cabrero;Si, ahora mismo;Mapuche;Hombre;69;2017;8303
265;Cabrero;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;169;2017;8303
266;Cabrero;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;406;2017;8303
267;Cabrero;No;No pertenece a ningún pueblo indígena;Mujer;6678;2017;8303
268;Cabrero;No;No pertenece a ningún pueblo indígena;Hombre;4122;2017;8303
269;Cabrero;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;1584;2017;8303
270;Calama;Si, ahora mismo;Atacameño (Likan-Antai);Mujer;272;2017;2201
271;Calama;No;No pertenece a ningún pueblo indígena;Mujer;14304;2017;2201
272;Calama;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;2050;2017;2201
273;Calama;Sí, en otra época del año;Mapuche;Mujer;122;2017;2201
274;Calama;Si, ahora mismo;Quechua;Mujer;61;2017;2201
275;Calama;No sabe/no responde;Atacameño (Likan-Antai);Hombre;160;2017;2201
276;Calama;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;3112;2017;2201
277;Calama;Sí, en otra época del año;Aimara;Hombre;115;2017;2201
278;Calama;Si, ahora mismo;Diaguita;Hombre;61;2017;2201
279;Calama;No;Atacameño (Likan-Antai);Mujer;1590;2017;2201
280;Calama;No;Atacameño (Likan-Antai);Hombre;1635;2017;2201
281;Calama;No;Aimara;Mujer;91;2017;2201
282;Calama;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;1583;2017;2201
283;Calama;No;Quechua;Hombre;331;2017;2201
284;Calama;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;747;2017;2201
285;Calama;Sí, en otra época del año;Aimara;Mujer;66;2017;2201
286;Calama;Si, ahora mismo;Aimara;Mujer;11;2017;2201
287;Calama;Si, ahora mismo;No sabe/no responde;Mujer;168;2017;2201
288;Calama;Si, ahora mismo;Aimara;Hombre;71;2017;2201
289;Calama;Si, ahora mismo;Mapuche;Hombre;61;2017;2201
290;Calama;No;No pertenece a ningún pueblo indígena;Hombre;4770;2017;2201
291;Calama;No;Quechua;Mujer;408;2017;2201
292;Calama;No;Diaguita;Mujer;119;2017;2201
293;Calama;Si, ahora mismo;No sabe/no responde;Hombre;115;2017;2201
294;Calama;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;3710;2017;2201
295;Calama;No;Mapuche;Mujer;69;2017;2201
296;Calama;Sí, en otra época del año;Diaguita;Mujer;274;2017;2201
297;Calama;Sí, en otra época del año;Atacameño (Likan-Antai);Mujer;744;2017;2201
298;Calama;Sí, en otra época del año;Atacameño (Likan-Antai);Hombre;516;2017;2201
299;Calama;Si, ahora mismo;Atacameño (Likan-Antai);Hombre;425;2017;2201
300;Calama;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;9517;2017;2201
301;Calama;No sabe/no responde;Atacameño (Likan-Antai);Mujer;69;2017;2201
302;Calama;Sí, en otra época del año;Quechua;Mujer;77;2017;2201
303;Calama;No;Aimara;Hombre;277;2017;2201
304;Calama;Si, ahora mismo;Diaguita;Mujer;61;2017;2201
305;Calbuco;Si, ahora mismo;Mapuche;Mujer;146;2017;10102
306;Calbuco;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;63;2017;10102
307;Calbuco;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;892;2017;10102
308;Calbuco;Sí, en otra época del año;Mapuche;Hombre;212;2017;10102
309;Calbuco;No;No pertenece a ningún pueblo indígena;Mujer;6455;2017;10102
310;Calbuco;Si, ahora mismo;Mapuche;Hombre;129;2017;10102
311;Calbuco;No;No pertenece a ningún pueblo indígena;Hombre;3267;2017;10102
312;Calbuco;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;197;2017;10102
313;Calbuco;No;Mapuche;Mujer;910;2017;10102
314;Calbuco;Sí, en otra época del año;Mapuche;Mujer;331;2017;10102
315;Calbuco;No;Mapuche;Hombre;370;2017;10102
316;Calbuco;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;656;2017;10102
317;Calbuco;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;63;2017;10102
318;Calbuco;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;420;2017;10102
319;Caldera;Sí, en otra época del año;Atacameño (Likan-Antai);Mujer;42;2017;3102
320;Caldera;Si, ahora mismo;Diaguita;Hombre;66;2017;3102
321;Caldera;No sabe/no responde;No pertenece a ningún pueblo indígena;Hombre;41;2017;3102
322;Caldera;No;Collas;Hombre;108;2017;3102
323;Caldera;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;442;2017;3102
324;Caldera;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;238;2017;3102
325;Caldera;No;Collas;Mujer;126;2017;3102
326;Caldera;No;No pertenece a ningún pueblo indígena;Hombre;1204;2017;3102
327;Caldera;No;Diaguita;Mujer;67;2017;3102
328;Caldera;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;757;2017;3102
329;Caldera;Si, ahora mismo;Diaguita;Mujer;66;2017;3102
330;Caldera;No;Diaguita;Hombre;41;2017;3102
331;Caldera;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;41;2017;3102
332;Caldera;No;No pertenece a ningún pueblo indígena;Mujer;1855;2017;3102
333;Caldera;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;250;2017;3102
334;Caldera;No;Mapuche;Mujer;117;2017;3102
335;Caldera;No;Atacameño (Likan-Antai);Hombre;42;2017;3102
336;Calera;No;No pertenece a ningún pueblo indígena;Mujer;13354;2017;5502
337;Calera;No;Mapuche;Mujer;323;2017;5502
338;Calera;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;912;2017;5502
339;Calera;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;585;2017;5502
340;Calera;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;2353;2017;5502
341;Calera;Si, ahora mismo;No pertenece a ningún pueblo indígena;Hombre;1660;2017;5502
342;Calera;No sabe/no responde;No pertenece a ningún pueblo indígena;Mujer;421;2017;5502
343;Calera;No;No pertenece a ningún pueblo indígena;Hombre;6362;2017;5502
344;Calera;No;Mapuche;Hombre;141;2017;5502
345;Calera de Tango;Sí, en otra época del año;Mapuche;Hombre;81;2017;13403
346;Calera de Tango;No;No pertenece a ningún pueblo indígena;Mujer;3053;2017;13403
347;Calera de Tango;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Hombre;958;2017;13403
348;Calera de Tango;Sí, en otra época del año;No pertenece a ningún pueblo indígena;Mujer;2809;2017;13403
349;Calera de Tango;Si, ahora mismo;Mapuche;Mujer;81;2017;13403
350;Calera de Tango;No;No pertenece a ningún pueblo indígena;Hombre;1316;2017;13403
351;Calera de Tango;Si, ahora mismo;No pertenece a ningún pueblo indígena;Mujer;1234;2017;13403
